sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Aditya’s Apple Watch","3.1","<<HKDevice: 0x1c0a84650>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch1,2, software:3.1>","AppleStandHour",,2016-11-05 23:00:01 -0800,2016-11-05 22:00:00 -0800,2016-11-05 23:00:00 -0800,HKCategoryValueAppleStandHourIdle
"Aditya’s Apple Watch","3.1","<<HKDevice: 0x1c1083160>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch1,2, software:3.1>","AppleStandHour",,2016-11-06 00:05:06 -0800,2016-11-05 23:00:00 -0800,2016-11-06 00:00:00 -0800,HKCategoryValueAppleStandHourIdle
"Aditya’s Apple Watch","3.1","<<HKDevice: 0x1c1083200>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch1,2, software:3.1>","AppleStandHour",,2016-11-06 00:05:06 -0800,2016-11-06 00:00:00 -0800,2016-11-06 01:00:00 -0800,HKCategoryValueAppleStandHourStood
"Aditya’s Apple Watch","3.1","<<HKDevice: 0x1c1083610>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch1,2, software:3.1>","AppleStandHour",,2016-11-06 12:16:53 -0800,2016-11-06 12:00:00 -0800,2016-11-06 13:00:00 -0800,HKCategoryValueAppleStandHourStood
"Aditya’s Apple Watch","3.1","<<HKDevice: 0x1c10836b0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch1,2, software:3.1>","AppleStandHour",,2016-11-06 13:36:52 -0800,2016-11-06 13:00:00 -0800,2016-11-06 14:00:00 -0800,HKCategoryValueAppleStandHourStood
"Aditya’s Apple Watch","3.1","<<HKDevice: 0x1c1083a70>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch1,2, software:3.1>","AppleStandHour",,2016-11-06 14:01:15 -0800,2016-11-06 14:00:00 -0800,2016-11-06 15:00:00 -0800,HKCategoryValueAppleStandHourStood
"Aditya’s Apple Watch","3.1","<<HKDevice: 0x1c1083750>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch1,2, software:3.1>","AppleStandHour",,2016-11-06 16:02:03 -0800,2016-11-06 15:00:00 -0800,2016-11-06 16:00:00 -0800,HKCategoryValueAppleStandHourIdle
"Aditya’s Apple Watch","3.1","<<HKDevice: 0x1c1083980>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch1,2, software:3.1>","AppleStandHour",,2016-11-06 17:06:31 -0800,2016-11-06 16:00:00 -0800,2016-11-06 17:00:00 -0800,HKCategoryValueAppleStandHourIdle
"Aditya’s Apple Watch","3.1","<<HKDevice: 0x1c1083cf0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch1,2, software:3.1>","AppleStandHour",,2016-11-06 17:13:49 -0800,2016-11-06 17:00:00 -0800,2016-11-06 18:00:00 -0800,HKCategoryValueAppleStandHourStood
"Aditya’s Apple Watch","3.1","<<HKDevice: 0x1c1083b60>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch1,2, software:3.1>","AppleStandHour",,2016-11-06 19:00:16 -0800,2016-11-06 18:00:00 -0800,2016-11-06 19:00:00 -0800,HKCategoryValueAppleStandHourIdle
"Aditya’s Apple Watch","3.1","<<HKDevice: 0x1c1083f70>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch1,2, software:3.1>","AppleStandHour",,2016-11-06 19:03:36 -0800,2016-11-06 19:00:00 -0800,2016-11-06 20:00:00 -0800,HKCategoryValueAppleStandHourStood
"Aditya’s Apple Watch","3.1","<<HKDevice: 0x1c1083840>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch1,2, software:3.1>","AppleStandHour",,2016-11-06 20:23:05 -0800,2016-11-06 20:00:00 -0800,2016-11-06 21:00:00 -0800,HKCategoryValueAppleStandHourStood
"Aditya’s Apple Watch","3.1","<<HKDevice: 0x1c10838e0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch1,2, software:3.1>","AppleStandHour",,2016-11-06 21:02:21 -0800,2016-11-06 21:00:00 -0800,2016-11-06 22:00:00 -0800,HKCategoryValueAppleStandHourStood
