sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Aditya’s Apple Watch","3.1",,"MindfulSession",,2016-11-06 17:16:44 -0800,2016-11-06 17:15:41 -0800,2016-11-06 17:16:41 -0800,
"Aditya’s Apple Watch","3.1",,"MindfulSession",,2016-11-17 18:18:19 -0800,2016-11-17 18:17:15 -0800,2016-11-17 18:18:15 -0800,
"Aditya’s Apple Watch","3.1",,"MindfulSession",,2016-11-28 15:42:13 -0800,2016-11-28 15:41:09 -0800,2016-11-28 15:42:09 -0800,
"Aditya’s Apple Watch","3.1",,"MindfulSession",,2016-12-01 17:12:09 -0800,2016-12-01 17:11:06 -0800,2016-12-01 17:12:06 -0800,
"Aditya’s Apple Watch","3.1",,"MindfulSession",,2016-12-02 17:42:19 -0800,2016-12-02 17:41:16 -0800,2016-12-02 17:42:16 -0800,
"Aditya’s Apple Watch","3.1",,"MindfulSession",,2016-12-02 22:42:14 -0800,2016-12-02 22:41:10 -0800,2016-12-02 22:42:10 -0800,
"Aditya’s Apple Watch","3.1",,"MindfulSession",,2016-12-08 03:03:46 -0800,2016-12-08 03:02:42 -0800,2016-12-08 03:03:42 -0800,
"Aditya’s Apple Watch","3.1",,"MindfulSession",,2016-12-30 22:23:40 -0800,2016-12-30 22:22:36 -0800,2016-12-30 22:23:36 -0800,
"Aditya’s Apple Watch","3.1.3",,"MindfulSession",,2017-02-24 17:12:45 -0800,2017-02-24 17:11:42 -0800,2017-02-24 17:12:42 -0800,
"Aditya’s Apple Watch","3.1.3",,"MindfulSession",,2017-06-18 13:30:55 -0800,2017-06-18 13:29:52 -0800,2017-06-18 13:30:52 -0800,
"Aditya’s Apple Watch","4.0",,"MindfulSession",,2018-01-31 03:56:17 -0800,2018-01-31 03:55:14 -0800,2018-01-31 03:56:14 -0800,
